expnum,rudeness,picgender,picage,threatlevel,fairlevel,funclevel,trustlevel,expgender,firstgroup
21,0,1,1,2,6,6,6,0,polfem
21,0,0,0,2,4,4,4,0,polfem
21,0,0,1,2,6,6,6,0,polfem
21,0,0,0,2,4,4,4,0,polfem
21,1,0,0,,,,,0,rudefem
21,1,1,0,6,2,2,5,0,rudefem
21,0,1,0,2,4,4,4,0,polfem
21,1,1,1,6,4,4,4,0,rudefem
22,0,0,0,2,7,7,7,0,polfem
22,0,1,0,2,7,7,7,0,polfem
22,0,0,1,2,7,7,7,0,polfem
22,1,1,1,6,2,2,3,0,rudefem
22,0,1,1,2,7,7,7,0,polfem
22,1,1,0,6,2,2,3,0,rudefem
22,1,0,1,6,4,3,3,0,rudefem
22,1,0,0,,,,,0,rudefem
23,1,0,1,4,6,5,5,0,rudefem
23,0,0,0,3,6,6,6,0,polfem
23,0,1,1,3,6,7,7,0,polfem
23,1,0,0,,,,,0,rudefem
23,1,1,1,5,5,4,6,0,rudefem
23,0,0,1,3,6,7,6,0,polfem
23,0,1,0,3,6,6,7,0,polfem
23,1,1,0,7,4,5,5,0,rudefem
24,0,1,0,3,6,6,5,0,polfem
24,0,0,0,4,6,6,5,0,polfem
24,0,0,1,5,6,6,5,0,polfem
24,1,0,1,6,3,3,3,0,rudefem
24,1,0,0,6,3,3,3,0,rudefem
24,1,1,1,6,4,3,4,0,rudefem
24,0,1,1,3,6,6,5,0,polfem
24,1,1,0,6,3,3,3,0,rudefem
25,0,1,0,6,5,5,5,0,polfem
25,1,1,0,7,4,4,4,0,rudefem
25,0,0,0,4,5,6,6,0,polfem
25,1,0,0,6,5,5,5,0,rudefem
25,1,1,1,7,5,5,5,0,rudefem
25,0,0,1,4,6,6,6,0,polfem
25,1,0,1,7,4,4,4,0,rudefem
25,0,1,1,4,6,6,6,0,polfem
26,0,1,1,3,5,5,5,1,polmale
26,0,1,0,3,5,5,5,1,polmale
26,0,0,0,3,5,5,5,1,polmale
26,1,1,1,6,4,3,3,1,rudemale
26,1,0,1,6,3,4,4,1,rudemale
26,1,0,0,,,,,1,rudemale
26,1,1,0,6,2,2,2,1,rudemale
26,0,0,1,2,6,6,6,1,polmale
27,0,0,0,4,6,6,4,1,polmale
27,1,0,0,5,5,4,4,1,rudemale
27,0,1,1,5,5,4,4,1,polmale
27,1,1,0,5,4,4,4,1,rudemale
27,1,1,1,5,4,3,4,1,rudemale
27,0,0,1,4,4,5,4,1,polmale
27,1,0,1,5,4,4,4,1,rudemale
27,0,1,0,4,4,4,4,1,polmale
28,0,1,0,7,6,6,6,1,polmale
28,1,0,1,7,4,4,4,1,rudemale
28,0,0,1,6,6,6,6,1,polmale
28,1,1,1,7,4,4,4,1,rudemale
28,0,0,0,7,6,6,6,1,polmale
28,1,1,0,7,4,4,4,1,rudemale
28,0,1,1,7,6,6,6,1,polmale
28,1,0,0,7,4,4,4,1,rudemale
29,0,1,0,6,5,6,6,1,polmale
29,0,0,1,7,6,6,6,1,polmale
29,0,0,0,7,6,6,6,1,polmale
29,0,1,1,6,6,6,6,1,polmale
29,1,0,0,7,3,3,3,1,rudemale
29,1,1,0,6,3,3,3,1,rudemale
29,1,1,1,6,3,3,3,1,rudemale
29,1,0,1,7,3,3,3,1,rudemale
30,0,1,0,4,6,5,6,,
30,0,0,0,4,6,5,5,,
30,1,0,1,6,4,3,3,,
30,0,1,1,4,6,5,5,,
30,0,0,1,4,6,5,5,,
30,1,0,0,6,4,3,4,,
30,1,1,0,6,4,3,4,,
30,1,1,1,6,4,4,2,,
